Bus_Number,Bus_Name,Real_Part_G,Imaginary_Part_B,Magnitude,Phase_deg
1,Bus 01,0.0030703642458965634,-0.05384238679487374,0.05392985956194652,-86.73624059218652
2,Bus 02,0.05431270219277048,-0.18069924512513616,0.188685152590962,-73.27081878688037
3,Bus 03,0.012342464219381198,-0.15726418918016288,0.15774777849941582,-85.51249067487873
4,Bus 04,0.010508343407717146,-0.16955558034210957,0.16988089976899723,-86.45358395468158
5,Bus 05,0.034127911979547086,-0.46124874743126515,0.46250959058488156,-85.76838155935016
6,Bus 06,0.03932429032821354,-0.5474911704804979,0.5489016137377657,-85.89170873851229
7,Bus 07,0.021693385151748464,-0.27220453749883544,0.27306759821388005,-85.44343392810713
8,Bus 08,0.022554423820885152,-0.278954222952532,0.27986453962040825,-85.37749137736827
9,Bus 09,0.0028027245716354043,-0.056598854546542204,0.05666820626246335,-87.16508002356113
10,Bus 10,0.03603902217043649,-0.42942384582287163,0.4309334640989333,-85.20274331560748
11,Bus 11,0.027412132114853528,-0.3147113047257449,0.31590288113479253,-85.02195988834733
12,Bus 12,0.0014188826240200323,-0.038575856723863086,0.03860194230710106,-87.89351783308852
13,Bus 13,0.026083003249307183,-0.2955228596065456,0.29667167645148307,-84.95611438053602
14,Bus 14,0.014567166407285108,-0.18585566496635755,0.1864256702743066,-85.51838090415941
15,Bus 15,0.011669401652968533,-0.12701553391380674,0.12755046370102968,-84.7507543343258
16,Bus 16,0.030267443856051596,-0.4292237990857277,0.43028965576593214,-85.966368016663
17,Bus 17,0.019691072719437,-0.2438228341890465,0.24461666504312704,-85.38282734495176
18,Bus 18,0.013872261747047379,-0.16445455563190564,0.16503860310262608,-85.17833433528702
19,Bus 19,0.009501369254244699,-0.16254299496050445,0.1628204570330033,-86.6546107954644
20,Bus 20,0.005699200934546971,-0.11310393498995047,0.11324743264861807,-87.11535931637844
21,Bus 21,0.007093100701260426,-0.12182841117550004,0.12203472393997099,-86.66788353943764
22,Bus 22,0.008866568051305732,-0.2057406202243313,0.20593158776472575,-87.53231631033613
23,Bus 23,0.007519031442089537,-0.14196083451028496,0.14215981981095657,-86.96813145870595
24,Bus 24,0.008724922470507832,-0.16594048400402528,0.1661696979103186,-86.99023816412863
25,Bus 25,0.051317360413533186,-0.12070638348158372,0.13116212293576074,-66.96761421266037
26,Bus 26,0.0107568671149934,-0.11330326717504638,0.1138127433228352,-84.57666722400577
27,Bus 27,0.009023117366660827,-0.1049276931537795,0.1053149440373314,-85.08501716094672
28,Bus 28,0.006709511195968696,-0.07274222023684467,0.0730509968821401,-84.73013035033095
29,Bus 29,0.009085152077834684,-0.12220880280253577,0.12254603816813686,-85.74838242216528
30,Bus 30,0.0,-0.046417656780246425,0.046417656780246425,-90.0
31,Bus 31,0.0,-0.033606385785503845,0.033606385785503845,-90.0
32,Bus 32,0.0,-0.04200798245543971,0.04200798245543971,-90.0
33,Bus 33,0.0029095742909369024,-0.059022768150030616,0.05909443952392433,-87.17784352541997
34,Bus 34,0.0026189524795184127,-0.05237903874997047,0.05244447170542271,-87.13759418246833
35,Bus 35,0.0,-0.05875242201973812,0.05875242201973812,-90.0
36,Bus 36,0.0005676061309542363,-0.030877782223558664,0.03088299874956142,-88.94688766431815
37,Bus 37,0.0009359370874156723,-0.03618957028560389,0.036201670896358694,-88.51854294800083
38,Bus 38,0.0027546217555666154,-0.05371512279048827,0.053785707742982004,-87.0643264748497
39,Bus 39,0.0026842158816171345,-0.06709714045475451,0.06715080991398525,-87.70910838844968
